concept_A,concept_B,n_people
Neutropenia due to and following chemotherapy,Right upper quadrant pain,1
Neutropenia due to and following chemotherapy,Secondary hypertension,1
Acquired hypothyroidism,Peritonitis,1
Acquired hypothyroidism,Persistent pain following procedure,1
Acquired hypothyroidism,Pleural effusion,1
Acquired hypothyroidism,Pleural effusion due to malignant neoplastic disease,1
Acquired hypothyroidism,Pleurisy,1
Acquired hypothyroidism,Nausea and vomiting,1
Acquired hypothyroidism,Neonatal candidiasis,1
Acquired hypothyroidism,Neoplasm of uncertain behavior of skin,1
Neutropenia due to and following chemotherapy,Upper abdominal pain,1
Neutropenia due to and following chemotherapy,Urge incontinence of urine,1
Neutropenia due to and following chemotherapy,Urgent desire to urinate,1
Neutropenia due to and following chemotherapy,Verruca plantaris,1
Neutropenia due to and following chemotherapy,Visual disturbance,1
Neutropenia due to and following chemotherapy,Vomiting,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of left lung,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of lymph node,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of lymph nodes of upper limb,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of right lung,1
Neutropenia due to and following chemotherapy,Secondary malignant neoplasm of skin,1
Neutropenia due to and following chemotherapy,Sepsis,1
Neutropenia due to and following chemotherapy,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Neutropenia due to and following chemotherapy,Shoulder joint pain,1
Neutropenia due to and following chemotherapy,Primary malignant neoplasm of trunk,1
Nocturia,Overlapping malignant neoplasm of soft tissues,1
Nocturia,Pain,1
Nocturia,Pain due to internal prosthetic device,1
Nocturia,Pain due to neoplastic disease,1
Nocturia,Pain in thoracic spine,1
Nocturia,Pancytopenia due to antineoplastic chemotherapy,1
Nocturia,Paralytic ileus,1
Nocturia,Paresthesia,1
Nocturia,Pericardial effusion - noninflammatory,1
Neutropenia due to and following chemotherapy,Sleep disorder,1
Neutropenia due to and following chemotherapy,Solitary nodule of lung,1
Neutropenia due to and following chemotherapy,Spinal stenosis of lumbar region,1
Neutropenia due to and following chemotherapy,Stool finding,1
Neutropenia due to and following chemotherapy,Tachypnea,1
Neutropenia due to and following chemotherapy,Testicular hypofunction,1
Neutropenia due to and following chemotherapy,Tremor,1
Nocturia,Pneumothorax,1
Nocturia,Poisoning by drug AND/OR medicinal substance,1
Nocturia,Postgastric surgery syndrome,1
Nocturia,Postoperative state,1
Nocturia,Primary focal hyperhidrosis,1
Nocturia,Primary malignant neoplasm,1
Nocturia,Primary malignant neoplasm of bone,1
Nocturia,Primary malignant neoplasm of brain,1
Nocturia,Primary malignant neoplasm of pelvic bone,1
Nocturia,Nocturnal enuresis,1
Nocturia,Non-infectious disorder of lymphatics,1
Nocturia,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Nocturia,Nonulcer dyspepsia,1
Nocturia,Open wound of trunk,1
Nocturia,Overactive bladder,1
Nocturia,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Nocturia,Puerperal pyrexia of unknown origin,1
Nocturia,Pulmonary embolism,1
Nocturia,Pyonephrosis,1
Nocturia,Radiation-induced disorder,1
Nocturia,Reduced mobility,1
Nocturia,Retention of urine,1
Nocturia,Right lower quadrant pain,1
Nocturia,Right upper quadrant pain,1
Nocturia,Secondary hypertension,1
Nocturia,Peritonitis,1
Nocturia,Persistent pain following procedure,1
Nocturia,Pleural effusion,1
Nocturia,Pleural effusion due to malignant neoplastic disease,1
Nocturia,Pleurisy,1
Nocturia,Pleuritic pain,1
Nocturia,Pneumonia,1
Nocturia,Secondary malignant neoplasm of lung,1
Nocturia,Secondary malignant neoplasm of lymph node,1
Nocturia,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Nocturia,Secondary malignant neoplasm of lymph nodes of upper limb,1
Nocturia,Secondary malignant neoplasm of nervous system,1
Nocturia,Secondary malignant neoplasm of pleura,1
Nocturia,Secondary malignant neoplasm of right lung,1
Nocturia,Secondary malignant neoplasm of skin,1
Nocturia,Secondary malignant neoplasm of unknown site,1
Nocturia,Primary malignant neoplasm of pelvis,1
Nocturia,Primary malignant neoplasm of retroperitoneum,1
Nocturia,Primary malignant neoplasm of skin,1
Nocturia,Primary malignant neoplasm of soft tissues,1
Nocturia,Primary malignant neoplasm of the peritoneum,1
Nocturia,Primary malignant neoplasm of trunk,1
Nocturia,Primary thrombocytopenia,1
Nocturia,Spinal cord compression,1
Nocturia,Spinal stenosis of lumbar region,1
Nocturia,Spinal stenosis of thoracic region,1
Nocturia,Stool finding,1
Nocturia,Tachycardia,1
Nocturia,Tachypnea,1
Nocturia,Testicular hypofunction,1
Nocturia,Tremor,1
Nocturia,Upper abdominal pain,1
Nocturia,Secondary malignant neoplasm of bone,1
Nocturia,Secondary malignant neoplasm of brain,1
Nocturia,Secondary malignant neoplasm of cerebral meninges,1
Nocturia,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Nocturia,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Nocturia,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Nocturia,Secondary malignant neoplasm of left lung,1
Nocturnal enuresis,Nonulcer dyspepsia,1
Nocturnal enuresis,Open wound of trunk,1
Nocturnal enuresis,Overactive bladder,1
Nocturnal enuresis,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Nocturnal enuresis,Overlapping malignant neoplasm of soft tissues,1
Nocturnal enuresis,Pain,1
Nocturnal enuresis,Pain due to internal prosthetic device,1
Nocturnal enuresis,Pain due to neoplastic disease,1
Nocturnal enuresis,Pain in thoracic spine,1
Nocturia,Secondary malignant neoplastic disease,1
Nocturia,Secondary thrombocytopenia,1
Nocturia,Sepsis,1
Nocturia,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Nocturia,Shoulder joint pain,1
Nocturia,Sleep disorder,1
Nocturia,Solitary nodule of lung,1
Nocturnal enuresis,Pleural effusion due to malignant neoplastic disease,1
Nocturnal enuresis,Pleurisy,1
Nocturnal enuresis,Pleuritic pain,1
Nocturnal enuresis,Pneumonia,1
Nocturnal enuresis,Pneumothorax,1
Nocturnal enuresis,Poisoning by drug AND/OR medicinal substance,1
Nocturnal enuresis,Postgastric surgery syndrome,1
Nocturnal enuresis,Postoperative state,1
Nocturnal enuresis,Primary focal hyperhidrosis,1
Nocturia,Urge incontinence of urine,1
Nocturia,Urgent desire to urinate,1
Nocturia,Verruca plantaris,1
Nocturia,Visual disturbance,1
Nocturia,Vomiting,1
Nocturnal enuresis,Non-infectious disorder of lymphatics,1
Nocturnal enuresis,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Nocturnal enuresis,Primary malignant neoplasm of soft tissues,1
Nocturnal enuresis,Primary malignant neoplasm of the peritoneum,1
Nocturnal enuresis,Primary malignant neoplasm of trunk,1
Nocturnal enuresis,Primary thrombocytopenia,1
Nocturnal enuresis,Puerperal pyrexia of unknown origin,1
Nocturnal enuresis,Pulmonary embolism,1
Nocturnal enuresis,Pyonephrosis,1
Nocturnal enuresis,Radiation-induced disorder,1
Nocturnal enuresis,Reduced mobility,1
Nocturnal enuresis,Pancytopenia due to antineoplastic chemotherapy,1
Nocturnal enuresis,Paralytic ileus,1
Nocturnal enuresis,Paresthesia,1
Nocturnal enuresis,Pericardial effusion - noninflammatory,1
Nocturnal enuresis,Peritonitis,1
Nocturnal enuresis,Persistent pain following procedure,1
Nocturnal enuresis,Pleural effusion,1
Nocturnal enuresis,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Nocturnal enuresis,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Nocturnal enuresis,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Nocturnal enuresis,Secondary malignant neoplasm of left lung,1
Nocturnal enuresis,Secondary malignant neoplasm of lung,1
Nocturnal enuresis,Secondary malignant neoplasm of lymph node,1
Nocturnal enuresis,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Nocturnal enuresis,Secondary malignant neoplasm of lymph nodes of upper limb,1
Nocturnal enuresis,Secondary malignant neoplasm of nervous system,1
Nocturnal enuresis,Primary malignant neoplasm,1
Nocturnal enuresis,Primary malignant neoplasm of bone,1
Nocturnal enuresis,Primary malignant neoplasm of brain,1
Nocturnal enuresis,Primary malignant neoplasm of pelvic bone,1
Nocturnal enuresis,Primary malignant neoplasm of pelvis,1
Nocturnal enuresis,Primary malignant neoplasm of retroperitoneum,1
Nocturnal enuresis,Primary malignant neoplasm of skin,1
Nocturnal enuresis,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Nocturnal enuresis,Shoulder joint pain,1
Nocturnal enuresis,Sleep disorder,1
Nocturnal enuresis,Solitary nodule of lung,1
Nocturnal enuresis,Spinal cord compression,1
Nocturnal enuresis,Spinal stenosis of lumbar region,1
Nocturnal enuresis,Spinal stenosis of thoracic region,1
Nocturnal enuresis,Stool finding,1
Nocturnal enuresis,Tachycardia,1
Nocturnal enuresis,Retention of urine,1
Nocturnal enuresis,Right lower quadrant pain,1
Nocturnal enuresis,Right upper quadrant pain,1
Nocturnal enuresis,Secondary hypertension,1
Nocturnal enuresis,Secondary malignant neoplasm of bone,1
Nocturnal enuresis,Secondary malignant neoplasm of brain,1
Nocturnal enuresis,Secondary malignant neoplasm of cerebral meninges,1
Nocturnal enuresis,Visual disturbance,1
Nocturnal enuresis,Vomiting,1
Non-infectious disorder of lymphatics,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Non-infectious disorder of lymphatics,Nonulcer dyspepsia,1
Non-infectious disorder of lymphatics,Open wound of trunk,1
Non-infectious disorder of lymphatics,Overactive bladder,1
Non-infectious disorder of lymphatics,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Non-infectious disorder of lymphatics,Overlapping malignant neoplasm of soft tissues,1
Non-infectious disorder of lymphatics,Pain,1
Nocturnal enuresis,Secondary malignant neoplasm of pleura,1
Nocturnal enuresis,Secondary malignant neoplasm of right lung,1
Nocturnal enuresis,Secondary malignant neoplasm of skin,1
Nocturnal enuresis,Secondary malignant neoplasm of unknown site,1
Nocturnal enuresis,Secondary malignant neoplastic disease,1
Nocturnal enuresis,Secondary thrombocytopenia,1
Nocturnal enuresis,Sepsis,1
Non-infectious disorder of lymphatics,Peritonitis,1
Non-infectious disorder of lymphatics,Persistent pain following procedure,1
Non-infectious disorder of lymphatics,Pleural effusion,1
Non-infectious disorder of lymphatics,Pleural effusion due to malignant neoplastic disease,1
Non-infectious disorder of lymphatics,Pleurisy,1
Non-infectious disorder of lymphatics,Pleuritic pain,1
Non-infectious disorder of lymphatics,Pneumonia,1
Non-infectious disorder of lymphatics,Pneumothorax,1
Non-infectious disorder of lymphatics,Poisoning by drug AND/OR medicinal substance,1
Nocturnal enuresis,Tachypnea,1
Nocturnal enuresis,Testicular hypofunction,1
Nocturnal enuresis,Tremor,1
Nocturnal enuresis,Upper abdominal pain,1
Nocturnal enuresis,Urge incontinence of urine,1
Nocturnal enuresis,Urgent desire to urinate,1
Nocturnal enuresis,Verruca plantaris,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of pelvis,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of retroperitoneum,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of skin,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of soft tissues,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of the peritoneum,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of trunk,1
Non-infectious disorder of lymphatics,Primary thrombocytopenia,1
Non-infectious disorder of lymphatics,Puerperal pyrexia of unknown origin,1
Non-infectious disorder of lymphatics,Pulmonary embolism,1
Non-infectious disorder of lymphatics,Pain due to internal prosthetic device,1
Non-infectious disorder of lymphatics,Pain due to neoplastic disease,1
Non-infectious disorder of lymphatics,Pain in thoracic spine,1
Non-infectious disorder of lymphatics,Pancytopenia due to antineoplastic chemotherapy,1
Non-infectious disorder of lymphatics,Paralytic ileus,1
Non-infectious disorder of lymphatics,Paresthesia,1
Non-infectious disorder of lymphatics,Pericardial effusion - noninflammatory,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of bone,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of brain,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of cerebral meninges,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of left lung,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of lung,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of lymph node,1
Non-infectious disorder of lymphatics,Postgastric surgery syndrome,1
Non-infectious disorder of lymphatics,Postoperative state,1
Non-infectious disorder of lymphatics,Primary focal hyperhidrosis,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of bone,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of brain,1
Non-infectious disorder of lymphatics,Primary malignant neoplasm of pelvic bone,1
Non-infectious disorder of lymphatics,Secondary malignant neoplastic disease,1
Non-infectious disorder of lymphatics,Secondary thrombocytopenia,1
Non-infectious disorder of lymphatics,Sepsis,1
Non-infectious disorder of lymphatics,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Non-infectious disorder of lymphatics,Shoulder joint pain,1
Non-infectious disorder of lymphatics,Sleep disorder,1
Non-infectious disorder of lymphatics,Solitary nodule of lung,1
Non-infectious disorder of lymphatics,Spinal cord compression,1
Non-infectious disorder of lymphatics,Spinal stenosis of lumbar region,1
Non-infectious disorder of lymphatics,Pyonephrosis,1
Non-infectious disorder of lymphatics,Radiation-induced disorder,1
Non-infectious disorder of lymphatics,Reduced mobility,1
Non-infectious disorder of lymphatics,Retention of urine,1
Non-infectious disorder of lymphatics,Right lower quadrant pain,1
Non-infectious disorder of lymphatics,Right upper quadrant pain,1
Non-infectious disorder of lymphatics,Secondary hypertension,1
Non-infectious disorder of lymphatics,Urge incontinence of urine,1
Non-infectious disorder of lymphatics,Urgent desire to urinate,1
Non-infectious disorder of lymphatics,Verruca plantaris,1
Non-infectious disorder of lymphatics,Visual disturbance,1
Non-infectious disorder of lymphatics,Vomiting,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Nonulcer dyspepsia,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Open wound of trunk,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Overactive bladder,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of lymph nodes of upper limb,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of nervous system,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of pleura,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of right lung,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of skin,1
Non-infectious disorder of lymphatics,Secondary malignant neoplasm of unknown site,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pain,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pain due to internal prosthetic device,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pain in thoracic spine,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Paralytic ileus,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pericardial effusion - noninflammatory,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Peritonitis,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Persistent pain following procedure,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pleural effusion due to malignant neoplastic disease,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pleurisy,1
Non-infectious disorder of lymphatics,Spinal stenosis of thoracic region,1
Non-infectious disorder of lymphatics,Stool finding,1
Non-infectious disorder of lymphatics,Tachycardia,1
Non-infectious disorder of lymphatics,Tachypnea,1
Non-infectious disorder of lymphatics,Testicular hypofunction,1
Non-infectious disorder of lymphatics,Tremor,1
Non-infectious disorder of lymphatics,Upper abdominal pain,1
Acquired hypothyroidism,Malaise,1
Acquired hypothyroidism,Malignant ascites,1
Acquired hypothyroidism,Malignant melanoma of skin,1
Acquired hypothyroidism,Malignant neoplasm of abdomen,1
Acquired hypothyroidism,Malignant neoplasm of connective and soft tissue of abdomen,1
Acquired hypothyroidism,Malignant neoplasm of connective and soft tissue of pelvis,1
Acquired hypothyroidism,Malignant neoplasm of connective and soft tissue of thorax,1
Acquired hypothyroidism,Malignant neoplastic disease,1
Acquired hypothyroidism,Mediastinal emphysema,1
Acquired hypothyroidism,Melena,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of skin,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of soft tissues,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of the peritoneum,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of trunk,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary thrombocytopenia,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Overlapping malignant neoplasm of soft tissues,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of left lung,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pneumothorax,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Postgastric surgery syndrome,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Postoperative state,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary focal hyperhidrosis,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of bone,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of pelvic bone,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of pelvis,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Primary malignant neoplasm of retroperitoneum,1
Acquired hypothyroidism,Nocturnal enuresis,1
Acquired hypothyroidism,Non-infectious disorder of lymphatics,1
Acquired hypothyroidism,Non-infectious systemic inflammatory response syndrome without acute organ failure,1
Acquired hypothyroidism,Nonulcer dyspepsia,1
Acquired hypothyroidism,Open wound of trunk,1
Acquired hypothyroidism,Lymphedema,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of right lung,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of skin,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Sepsis,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Shoulder joint pain,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Sleep disorder,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Solitary nodule of lung,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Puerperal pyrexia of unknown origin,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pulmonary embolism,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Pyonephrosis,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Radiation-induced disorder,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Right lower quadrant pain,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Right upper quadrant pain,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary hypertension,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of cerebral meninges,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Acquired hypothyroidism,Intestinal adhesions with obstruction,1
Acquired hypothyroidism,Intestinal obstruction,1
Acquired hypothyroidism,"Intra-abdominal and pelvic swelling, mass and lump",1
Acquired hypothyroidism,Iron deficiency anemia,1
Acquired hypothyroidism,Jaw pain,1
Acquired hypothyroidism,Left lower quadrant pain,1
Acquired hypothyroidism,Localized edema,1
Acquired hypothyroidism,Localized enlarged lymph nodes,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Verruca plantaris,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Visual disturbance,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Vomiting,1
Nonulcer dyspepsia,Open wound of trunk,1
Nonulcer dyspepsia,Overactive bladder,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of lymph node,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Secondary malignant neoplasm of lymph nodes of upper limb,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Spinal stenosis of lumbar region,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Stool finding,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Tachypnea,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Testicular hypofunction,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Tremor,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Upper abdominal pain,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Urge incontinence of urine,1
Non-infectious systemic inflammatory response syndrome without acute organ failure,Urgent desire to urinate,1
Acquired hypothyroidism,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),1
Acquired hypothyroidism,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1
Acquired hypothyroidism,Muscle weakness,1
Acquired hypothyroidism,Myopia,1
Acquired hypothyroidism,Nausea,1
Acquired hypothyroidism,Inflammatory dermatosis,1
Acquired hypothyroidism,Inflammatory disorder of digestive tract,1
Acquired hypothyroidism,Injury of bladder,1
Nonulcer dyspepsia,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Nonulcer dyspepsia,Overlapping malignant neoplasm of soft tissues,1
Nonulcer dyspepsia,Pain,1
Nonulcer dyspepsia,Pain due to internal prosthetic device,1
Nonulcer dyspepsia,Pain due to neoplastic disease,1
Nonulcer dyspepsia,Pain in thoracic spine,1
Nonulcer dyspepsia,Pancytopenia due to antineoplastic chemotherapy,1
Nonulcer dyspepsia,Paralytic ileus,1
Nonulcer dyspepsia,Paresthesia,1
Nonulcer dyspepsia,Pericardial effusion - noninflammatory,1
Nonulcer dyspepsia,Peritonitis,1
Nonulcer dyspepsia,Persistent pain following procedure,1
Nonulcer dyspepsia,Pleural effusion,1
Nonulcer dyspepsia,Pleural effusion due to malignant neoplastic disease,1
Nonulcer dyspepsia,Pleurisy,1
Nonulcer dyspepsia,Pleuritic pain,1
Nonulcer dyspepsia,Pneumonia,1
Nonulcer dyspepsia,Pneumothorax,1
Nonulcer dyspepsia,Poisoning by drug AND/OR medicinal substance,1
Nonulcer dyspepsia,Postgastric surgery syndrome,1
Nonulcer dyspepsia,Postoperative state,1
Nonulcer dyspepsia,Primary focal hyperhidrosis,1
Nonulcer dyspepsia,Primary malignant neoplasm,1
Nonulcer dyspepsia,Primary malignant neoplasm of bone,1
Nonulcer dyspepsia,Primary malignant neoplasm of brain,1
Nonulcer dyspepsia,Primary malignant neoplasm of pelvic bone,1
Nonulcer dyspepsia,Primary malignant neoplasm of pelvis,1
Nonulcer dyspepsia,Primary malignant neoplasm of retroperitoneum,1
Nonulcer dyspepsia,Primary malignant neoplasm of skin,1
Nonulcer dyspepsia,Primary malignant neoplasm of soft tissues,1
Nonulcer dyspepsia,Primary malignant neoplasm of the peritoneum,1
Nonulcer dyspepsia,Primary malignant neoplasm of trunk,1
Nonulcer dyspepsia,Primary thrombocytopenia,1
Nonulcer dyspepsia,Puerperal pyrexia of unknown origin,1
Nonulcer dyspepsia,Pulmonary embolism,1
Nonulcer dyspepsia,Pyonephrosis,1
Nonulcer dyspepsia,Radiation-induced disorder,1
Nonulcer dyspepsia,Reduced mobility,1
Nonulcer dyspepsia,Retention of urine,1
Nonulcer dyspepsia,Right lower quadrant pain,1
Nonulcer dyspepsia,Right upper quadrant pain,1
Nonulcer dyspepsia,Secondary hypertension,1
Nonulcer dyspepsia,Secondary malignant neoplasm of bone,1
Nonulcer dyspepsia,Secondary malignant neoplasm of brain,1
Nonulcer dyspepsia,Secondary malignant neoplasm of cerebral meninges,1
Nonulcer dyspepsia,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Nonulcer dyspepsia,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Nonulcer dyspepsia,Secondary malignant neoplasm of intrathoracic lymph nodes,1
Nonulcer dyspepsia,Secondary malignant neoplasm of left lung,1
Nonulcer dyspepsia,Secondary malignant neoplasm of lung,1
Nonulcer dyspepsia,Secondary malignant neoplasm of lymph node,1
Nonulcer dyspepsia,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Nonulcer dyspepsia,Secondary malignant neoplasm of lymph nodes of upper limb,1
Nonulcer dyspepsia,Secondary malignant neoplasm of nervous system,1
Nonulcer dyspepsia,Secondary malignant neoplasm of pleura,1
Nonulcer dyspepsia,Secondary malignant neoplasm of right lung,1
Nonulcer dyspepsia,Secondary malignant neoplasm of skin,1
Nonulcer dyspepsia,Secondary malignant neoplasm of unknown site,1
Nonulcer dyspepsia,Secondary malignant neoplastic disease,1
Nonulcer dyspepsia,Secondary thrombocytopenia,1
Nonulcer dyspepsia,Sepsis,1
Nonulcer dyspepsia,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Nonulcer dyspepsia,Shoulder joint pain,1
Nonulcer dyspepsia,Sleep disorder,1
Nonulcer dyspepsia,Solitary nodule of lung,1
Nonulcer dyspepsia,Spinal cord compression,1
Nonulcer dyspepsia,Spinal stenosis of lumbar region,1
Nonulcer dyspepsia,Spinal stenosis of thoracic region,1
Nonulcer dyspepsia,Stool finding,1
Nonulcer dyspepsia,Tachycardia,1
Nonulcer dyspepsia,Tachypnea,1
Nonulcer dyspepsia,Testicular hypofunction,1
Nonulcer dyspepsia,Tremor,1
Nonulcer dyspepsia,Upper abdominal pain,1
Nonulcer dyspepsia,Urge incontinence of urine,1
Nonulcer dyspepsia,Urgent desire to urinate,1
Nonulcer dyspepsia,Verruca plantaris,1
Nonulcer dyspepsia,Visual disturbance,1
Nonulcer dyspepsia,Vomiting,1
Open wound of trunk,Overactive bladder,1
Open wound of trunk,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Open wound of trunk,Overlapping malignant neoplasm of soft tissues,1
Open wound of trunk,Pain,1
Open wound of trunk,Pain due to internal prosthetic device,1
Open wound of trunk,Pain due to neoplastic disease,1
Open wound of trunk,Pain in thoracic spine,1
Open wound of trunk,Pancytopenia due to antineoplastic chemotherapy,1
Open wound of trunk,Paralytic ileus,1
Open wound of trunk,Paresthesia,1
Open wound of trunk,Pericardial effusion - noninflammatory,1
Open wound of trunk,Peritonitis,1
Open wound of trunk,Persistent pain following procedure,1
Open wound of trunk,Pleural effusion,1
Open wound of trunk,Pleural effusion due to malignant neoplastic disease,1
Open wound of trunk,Pleurisy,1
Open wound of trunk,Pleuritic pain,1
Open wound of trunk,Pneumonia,1
Open wound of trunk,Pneumothorax,1
Open wound of trunk,Poisoning by drug AND/OR medicinal substance,1
Open wound of trunk,Postgastric surgery syndrome,1
